Recorded_taxa	Status	MinT	MaxT
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	192.9
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Pelingoceras_pseudocarinatum	extinct	191.84	192.9
Holcolytoceras_nodostricum	extinct	188.4	190.2
Holcolytoceras_nodostricum	extinct	188.4	190.2
Holcolytoceras_nodostricum	extinct	188.4	190.2
Gemmellaroceras_circumcrispatum	extinct	188.4	191.84
Audaxlytoceras_audax	extinct	188	189.5
Audaxlytoceras_audax	extinct	188	189.5
Audaxlytoceras_audax	extinct	188	188.4
Audaxlytoceras_audax	extinct	188.8	189.5
Audaxlytoceras_audax	extinct	188	189.5
Audaxlytoceras_audax	extinct	188	189.5
Audaxlytoceras_audax	extinct	188	189.5
Audaxlytoceras_audax	extinct	188	189.5
Audaxlytoceras_audax	extinct	188.8	189.5
Audaxlytoceras_audax	extinct	188.4	189.5
Audaxlytoceras_audax	extinct	185.55	188
Audaxlytoceras_audax	extinct	185.55	188
Audaxlytoceras_audax	extinct	185.55	188
Audaxlytoceras_audax	extinct	185.55	188
Audaxlytoceras_audax	extinct	183.16	184.2
Pseudophricodoceras_dayiforme	extinct	191.84	192.9
Gemmellaroceras_aenigmaticum	extinct	188.4	191.84
Gemmellaroceras_aenigmaticum	extinct	190.2	191.84
Gemmellaroceras_aenigmaticum	extinct	190.2	191.84
Gemmellaroceras_aenigmaticum	extinct	188.4	191.84
Gemmellaroceras_aenigmaticum	extinct	188.4	189.5
Gemmellaroceras_aenigmaticum	extinct	190.78	192.9
Gemmellaroceras_aenigmaticum	extinct	188.4	191.84
Gemmellaroceras_aenigmaticum	extinct	188.4	188.8
Gemmellaroceras_aenigmaticum	extinct	190.2	191.84
Polymorphites_rutilans	extinct	191.84	192.9
Polymorphites_rutilans	extinct	191.84	192.9
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Fuciniceras_costicillatum	extinct	188	188.4
Baltzerites_baltzeri	extinct	188.8	190.54
Baltzerites_baltzeri	extinct	188.8	190.54
